Nr,Rendi,Familja,Lloji,Referenca
1,Anura,Bombinatoridae ,"Bombina variegata (Linnaeus, 1758)","(Ibrahimi et al., 2019)"
2,Anura,Bufonidae ,"Bufo bufo (Linnaeus, 1758)","(Ibrahimi et al., 2019)"
3,Anura,Bufonidae ,"Bufotes viridis (Laurenti, 1768)","(Ibrahimi et al., 2019)"
4,Anura,Hylidae ,"Hyla arborea (Linnaeus, 1758)","(Ibrahimi et al., 2019)"
5,Anura,Ranidae ,"Pelophylax ridibundus (Pallas, 1771)","(Ibrahimi et al., 2019)"
6,Anura,Ranidae ,"Rana dalmatina Bonaparte, 1840","(Ibrahimi et al., 2019)"
7,Anura,Ranidae ,"Rana graeca Boulenger, 1891","(Ibrahimi et al., 2019)"
8,Anura,Ranidae ,"Rana temporaria Linnaeus, 1758","(Ibrahimi et al., 2019)"
9,Urodela,Salamandridae ,"Ichthyosaura alpestris (Laurenti, 1768)","(Ibrahimi et al., 2019)"
10,Urodela,Salamandridae ,"Lissotriton vulgaris (Linnaeus, 1758)","(Ibrahimi et al., 2019)"
11,Urodela,Salamandridae ,"Triturus cristatus (Laurenti, 1768)","(Ibrahimi et al., 2019)"
12,Urodela,Salamandridae ,"Triturus macedonicus (Karaman, 1922)","(Amphibian Species of the World, n.d.)"
13,Urodela,Salamandridae ,"Salamandra atra Laurenti, 1768","(Ibrahimi et al., 2019)"
14,Urodela,Salamandridae ,"Salamandra salamandra (Linnaeus, 1758)","(Ibrahimi et al., 2019)"
15,Squamata ,Anguidae ,"Anguis fragilis Linneaus, 1758","(Ibrahimi et al., 2019)"
16,Squamata ,Colubridae ,"Coronella austriaca Laurenti, 1768","(Ibrahimi et al., 2019)"
17,Squamata ,Colubridae ,"Dolichophis caspius (Gmelin, 1789)","(Ibrahimi et al., 2019)"
18,Squamata ,Colubridae ,"Natrix natrix (Linnaeus, 1758)","(Ibrahimi et al., 2019)"
19,Squamata ,Colubridae ,"Natrix tessellata (Laurenti,1768)","(Ibrahimi et al., 2019)"
20,Squamata,Colubridae ,"Platyceps najadum (Eichwald, 1831)","Fauna Kosovarica, 2024"
21,Squamata,Colubridae ,"Telescopus fallax (Fleischmann, 1831)","Fauna Kosovarica, 2024"
22,Squamata ,Colubridae ,"Zamenis longissimus (Laurenti, 1768)","(Ibrahimi et al., 2019)"
23,Squamata ,Colubridae ,"Zamenis situla (Linnaeus, 1758)","Fauna Kosovarica, 2024"
24,Squamata,Gekkonidae,"Mediodactylis kotschyi (Steindachner, 1870)","(Ajtić et al., 2015)"
25,Squamata ,Lacertidae,"Algyroides nigropunctatus (Duméril & Bibron,1839)","(Ibrahimi et al., 2019)"
26,Squamata ,Lacertidae,"Darevskia praticola (Eversmann, 1834)","(Ibrahimi et al., 2019)"
27,Squamata ,Lacertidae,"Lacerta agilis Linnaeus, 1758","(Ibrahimi et al., 2019)"
28,Squamata ,Lacertidae,"Lacerta viridis (Laurenti, 1768)","(Ibrahimi et al., 2019)"
29,Squamata ,Lacertidae,"Podarcis erhardii (Bedriaga, 1876)","(Ibrahimi et al., 2019)"
30,Squamata ,Lacertidae,"Podarcis muralis (Laurenti, 1768)","(Ibrahimi et al., 2019)"
31,Squamata ,Lacertidae,"Podarcis tauricus (Pallas, 1814)","(Ibrahimi et al., 2019)"
32,Squamata ,Lacertidae,"Zootoca vivipara (Jacquin, 1787)","(Ibrahimi et al., 2019)"
33,Squamata ,Scincidae ,"Ablepharus kitaibelii Bibron & Bory St-Vincent, 1833","(Ibrahimi et al., 2019)"
34,Squamata ,Viperidae,"Vipera ammodytes (Linnaeus, 1758)","(Ibrahimi et al., 2019)"
35,Squamata ,Viperidae,"Vipera berus (Linnaeus, 1758)","(Ibrahimi et al., 2019)"
36,Squamata ,Viperidae,"Vipera ursinii (Bonaparte,1835)","(Ibrahimi et al., 2019)"
37,Testudines ,Emydidae ,"Emys orbicularis (Linnaeus, 1758)","(Ibrahimi et al., 2019)"
38,Testudines ,Testudinidae ,"Testudo graeca Linnaeus, 1758","(Tomović et al., 2015)"
39,Testudines ,Testudinidae ,"Testudo hermanni Gmelin, 1789","(Ibrahimi et al., 2019)"
