Nr,Rendi,Familja,Lloji,Referenca
1,Coleoptera,Anthribidae,"Platyrhinus resinosus (Scopoli, 1763)","(Hoxha, 2019)"
2,Coleoptera,Bostrichidae ,"Lichenophanes varius Illiger, 1801","(Ibrahimi et al., 2019)"
3,Coleoptera,Cantharidae,"Podistra rufotestacea (Letzner, 1845)","(Hoxha, 2019)"
4,Coleoptera,Carabidae,"Agonum (Agonum) muelleri (Herbst, 1784) ","(Guéorguiev & Mesaroš, 2022)"
5,Coleoptera,Carabidae,"Amara (Bradytus) apricaria (Paykull, 1790)","(Guéorguiev & Mesaroš, 2022)"
6,Coleoptera,Carabidae,"Amara (Celia) bifrons (Gyllenhal, 1810) ","(Guéorguiev & Mesaroš, 2022)"
7,Coleoptera,Carabidae,"Anchomenus dorsalis dorsalis Pontoppidan, 1763","(Guéorguiev & Mesaroš, 2022)"
8,Coleoptera,Carabidae,"Aptinus merditanus merditanus Apfelbeck, 1918","(Guéorguiev & Mesaroš, 2022)"
9,Coleoptera,Carabidae,"Bembidion (Bembidionetolitzkya) geniculatum geniculatum Heer, 1837","(Guéorguiev & Mesaroš, 2022)"
10,Coleoptera,Carabidae,"Bembidion (Bembidionetolitzkya) tibiale (Duftschmid, 1812)","(Guéorguiev & Mesaroš, 2022)"
11,Coleoptera,Carabidae,"Bembidion (Metallina) lampros (Herbst, 1784) ","(Guéorguiev & Mesaroš, 2022)"
12,Coleoptera,Carabidae,"Bembidion (Ocydromus) decorum decorum (Panzer, 1799)","(Guéorguiev & Mesaroš, 2022)"
13,Coleoptera,Carabidae,"Bembidion (Ocyturanes) balcanicum Apfelbeck, 1899","(Guéorguiev & Mesaroš, 2022)"
14,Coleoptera,Carabidae,"Bembidion (Peryphanes) brunnicorne Dejean, 1831","(Guéorguiev & Mesaroš, 2022)"
15,Coleoptera,Carabidae,"Bembidion (Peryphanes) dalmatinum dalmatinum Dejean, 1831","(Guéorguiev & Mesaroš, 2022)"
16,Coleoptera,Carabidae,"Bembidion (Peryphanes) deletum deletum Audinet-Serville, 1821","(Guéorguiev & Mesaroš, 2022)"
17,Coleoptera,Carabidae,"Bembidion (Peryphus) subcostatum vau Netolitzky, 1913","(Guéorguiev & Mesaroš, 2022)"
18,Coleoptera,Carabidae,"Calathus (Calathus) distinguendus Chaudoir, 1846","(Guéorguiev & Mesaroš, 2022)"
19,Coleoptera,Carabidae,"Calathus (Calathus) fuscipes (Goeze, 1777) ","(Guéorguiev & Mesaroš, 2022)"
20,Coleoptera,Carabidae,"Calathus (Neocalathus) albanicus Apfelbeck, 1906","(Guéorguiev & Mesaroš, 2022)"
21,Coleoptera,Carabidae,"Calathus (Neocalathus) melanocephalus melanocephalus (Linnaeus, 1758)","(Guéorguiev & Mesaroš, 2022)"
22,Coleoptera,Carabidae,"Calathus (Neocalathus) metallicus metallicus Dejean, 1828","(Guéorguiev & Mesaroš, 2022)"
23,Coleoptera,Carabidae,"Calosoma sycophanta (Linnaeus, 1758)","(Hoxha, 2019)"
24,Coleoptera,Carabidae,"Carabus (Archicarabus) montivagus vellepiticus Hampe,1850","(Guéorguiev & Mesaroš, 2022)"
25,Coleoptera,Carabidae,"Carabus (Chaetocarabus) intricatus intricatus Linnaeus, 1760","(Guéorguiev & Mesaroš, 2022)"
26,Coleoptera,Carabidae,"Carabus (Hygrocarabus) variolosus nodulosus Creutzer, 1799","(Hristovski et al., 2023)"
27,Coleoptera,Carabidae,"Carabus (Megodontus) caelatus caelatus Fabricius, 1801","(Guéorguiev & Mesaroš, 2022)"
28,Coleoptera,Carabidae,"Carabus (Megodontus) violaceus azurescens Dejean, 1826","(Guéorguiev & Mesaroš, 2022)"
29,Coleoptera,Carabidae,"Carabus (Pachystus) hortensis hortensis Linnaeus, 1758","(Guéorguiev & Mesaroš, 2022)"
30,Coleoptera,Carabidae,"Carabus (Procrustes) coriaceus hopffgarteni Kraatz,1877","(Guéorguiev & Mesaroš, 2022)"
31,Coleoptera,Carabidae,"Chlaenius (Chlaeniellus) vestitus (Paykull, 1790) ","(Guéorguiev & Mesaroš, 2022)"
32,Coleoptera,Carabidae,"Cymindis (Cymindis) humeralis Geoffroy, 1785)","(Guéorguiev & Mesaroš, 2022)"
33,Coleoptera,Carabidae,"Cymindis (Cymindis) scapularis Schaum, 1857","(Guéorguiev & Mesaroš, 2022)"
34,Coleoptera,Carabidae,"Deltomerous (Deltomerus) nopcsai Csiki, 1940","(Ibrahimi et al., 2019)"
35,Coleoptera,Carabidae,"Dromius agilis (Fabricius, 1787) ","(Kasumaj, 2018)"
36,Coleoptera,Carabidae,"Harpalus (Cryptophonus) tenebrosus Dejean, 1829","(Guéorguiev & Mesaroš, 2022)"
37,Coleoptera,Carabidae,"Harpalus (Harpalus) affinis (Schrank, 1781) ","(Guéorguiev & Mesaroš, 2022)"
38,Coleoptera,Carabidae,"Harpalus (Harpalus) atratus Latreille, 1804","(Guéorguiev & Mesaroš, 2022)"
39,Coleoptera,Carabidae,"Harpalus (Harpalus) attenuatus Stephens, 1828","(Guéorguiev & Mesaroš, 2022)"
40,Coleoptera,Carabidae,"Harpalus (Harpalus) flavicornis flavicornis Dejean, 1829","(Guéorguiev & Mesaroš, 2022)"
