Nr,Rendi,Familja,Lloji,Referenca
1,Ephemeroptera,Ameletidae,"Metreletus balcanicus (Ulmer, 1920)","(Xërxa et al., 2019)"
2,Ephemeroptera,Baetidae,"Alainites muticus (Linnaeus, 1758)","(Xërxa et al., 2019)"
3,Ephemeroptera,Baetidae,"Baetis alpinus (Pictet, 1843) ","(Xërxa et al., 2019)"
4,Ephemeroptera,Baetidae,"Baetis buceratus Eaton, 1870 ","(Xërxa et al., 2019)"
5,Ephemeroptera,Baetidae,"Baetis melanonyx (Pictet, 1843)","(Xërxa et al., 2019)"
6,Ephemeroptera,Baetidae,"Baetis nexus (Navàs, 1918)","(Xërxa et al., 2019)"
7,Ephemeroptera,Baetidae,"Baetis pentaphlebodes Ujhelyi, 1966","(Xërxa et al., 2019)"
8,Ephemeroptera,Baetidae,"Baetis rhodani (Pictet, 1843)","(Xërxa et al., 2019)"
9,Ephemeroptera,Baetidae,"Cloeon dipterum (Linnaeus, 1761)","(Xërxa et al., 2019)"
10,Ephemeroptera,Baetidae,"Procloeon cf. pulchrum (Eaton, 1885)","(Xërxa et al., 2019)"
11,Ephemeroptera,Caenidae,"Caenis cf. strugaensis Ikonomov, 1961","(Xërxa et al., 2019)"
12,Ephemeroptera,Caenidae,"Caenis horaria (Linnaeus, 1758) ","(Xërxa et al., 2019)"
13,Ephemeroptera,Caenidae,"Caenis macrura (Stephens, 1835) ","(Xërxa et al., 2019)"
14,Ephemeroptera,Caenidae,"Caenis robusta Eaton, 1884","(Xërxa et al., 2019b)"
15,Ephemeroptera,Ephemerellidae,"Ephemerella mucronata (Bengtsson, 1909)","(Xërxa et al., 2019)"
16,Ephemeroptera,Ephemerellidae,"Quatica ikonomovi (Puthz, 1971) ","(Xërxa et al., 2019)"
17,Ephemeroptera,Ephemerellidae,"Serratella ignita (Poda, 1761) ","(Xërxa et al., 2019)"
18,Ephemeroptera,Ephemerellidae,"Serratella spinosa (Ikonomov, 1961)","(Ibrahimi et al., 2019)"
19,Ephemeroptera,Ephemerellidae,"Torleya mayor (Klapalek, 1905) ","(Xërxa et al., 2019)"
20,Ephemeroptera,Ephemeridae,"Ephemera parnassiana Demoulin, 1958","(Xërxa et al., 2019)"
21,Ephemeroptera,Ephemeridae,"Ephemera vulgata Linnaeus, 1758","(Xërxa et al., 2019)"
22,Ephemeroptera,Heptageniidae,"Ecdyonurus cf. epeorides Demoulin, 1955 ","(Xërxa et al., 2019)"
23,Ephemeroptera,Heptageniidae,"Ecdyonurus cf. krueperi (Stein, 1863) ","(Xërxa et al., 2019)"
24,Ephemeroptera,Heptageniidae,"Ecdyonurus cf. puma Jacob & Braasch, 1986","(Xërxa et al., 2019)"
25,Ephemeroptera,Heptageniidae,"Ecdyonurus cf. siveci Hefti, Tomka & Zurwerra, 1986","(Xërxa et al., 2019)"
26,Ephemeroptera,Heptageniidae,"Ecdyonurus graecus Braasch, 1984","(Xërxa et al., 2019)"
27,Ephemeroptera,Heptageniidae,"Ecdyonurus insignis (Eaton, 1870) ","(Xërxa et al., 2019)"
28,Ephemeroptera,Heptageniidae,"Ecdyonurus macani Thomas & Sowa, 1970","(Xërxa et al., 2019)"
29,Ephemeroptera,Heptageniidae,"Ecdyonurus starmachi Sowa, 1971","(Xërxa et al., 2019)"
30,Ephemeroptera,Heptageniidae,"Ecdyonurus subalpinus (Klapálek, 1907)","(Xërxa et al., 2019)"
31,Ephemeroptera,Heptageniidae,"Ecdyonurus submontanus Landa, 1969","(Xërxa et al., 2019)"
32,Ephemeroptera,Heptageniidae,"Ecdyonurus venosus (Fabricius, 1775) ","(Xërxa et al., 2019)"
33,Ephemeroptera,Heptageniidae,"Ecdyonurus vitoshensis Jacob & Braasch, 1984","(Xërxa et al., 2019)"
34,Ephemeroptera,Heptageniidae,"Electrogena cf. mazedonica (Ikonomov, 1954)","(Xërxa et al., 2019)"
35,Ephemeroptera,Heptageniidae,"Epeorus assimilis Eaton, 1885","(Xërxa et al., 2019)"
36,Ephemeroptera,Heptageniidae,"Epeorus yougoslavicus (Šamal, 1935) ","(Xërxa et al., 2019)"
37,Ephemeroptera,Heptageniidae,"Rhithrogena braaschi Jacob, 1974)","(Xërxa et al., 2019)"
38,Ephemeroptera,Heptageniidae,"Rhithrogena cf. bulgarica Braasch, Soldán & Sowa, 1985","(Xërxa et al., 2019)"
39,Ephemeroptera,Heptageniidae,"Rhithrogena germanica Eaton, 1885","(Xërxa et al., 2019)"
40,Ephemeroptera,Heptageniidae,"Rhithrogena gr. diaphana Navàs, 1917","(Xërxa et al., 2019)"
41,Ephemeroptera,Heptageniidae,"Rhithrogena gr. hercynia Landa, 1969","(Xërxa et al., 2019)"
42,Ephemeroptera,Heptageniidae,"Rhithrogena gr. semicolorata (Curtis, 1834)","(Xërxa et al., 2019)"
43,Ephemeroptera,Heptageniidae,"Rhithrogena gr. sowai Puthz, 1972","(Xërxa et al., 2019)"
44,Ephemeroptera,Leptophlebiidae,"Habroleptoides confusa Sartori & Jacob, 1986","(Xërxa et al., 2019)"
45,Ephemeroptera,Leptophlebiidae,"Habrophlebia eldae Jacob & Sartori, 1984","(Xërxa et al., 2019)"
46,Ephemeroptera,Leptophlebiidae,"Paraleptophlebia submarginata (Stephens, 1836)","(Xërxa et al., 2019)"
47,Ephemeroptera,Oligoneuriidae,"Oligoneurella rhenana (Imhoff, 1852)","(Xërxa et al., 2019)"
48,Ephemeroptera,Potamanthidae,"Potamanthus luteus (Linnaeus, 1767)","(Xërxa et al., 2019)"
