Nr,Rendi,Familja,Lloji,Referenca
1,Diptera,Chironomidae,"Apsectrotanypus trifascipennis (Zetterstedt, 1838)","(Płóciennik et al., 2023)"
2,Diptera,Chironomidae,"Brilllia bifida (Kieffer, 1909) ","(Płóciennik et al., 2023)"
3,Diptera,Chironomidae,"Chaetocladius dentiforceps (Edwards, 1929)","(Płóciennik et al., 2023)"
4,Diptera,Chironomidae,"Chaetocladius melaleucus (Meigen, 1818)","(Płóciennik et al., 2023)"
5,Diptera,Chironomidae,"Chaetocladius piger (Goetghebuer, 1913)","(Płóciennik et al., 2023)"
6,Diptera,Chironomidae,"Heleniella ornaticollis (Edwards, 1929)","(Płóciennik et al., 2023)"
7,Diptera,Chironomidae,"Metriocnemus hygropetricus Kieffer, 1912","(Płóciennik et al., 2023)"
8,Diptera,Chironomidae,"Parametriocnemus stylatus (Kieffer, 1924)","(Płóciennik et al., 2023)"
9,Diptera,Chironomidae,"Paraphaenocladius penerasus (Edwards, 1929)","(Płóciennik et al., 2023)"
10,Diptera,Chironomidae,"Paraphaenocladius pseudirritus Strenzke, 1950","(Płóciennik et al., 2023)"
11,Diptera,Culicidae,"Aedes albopictus (Skuse, 1894)","(Muja-Bajraktari et al., 2022)"
12,Diptera,Culicidae,"Aedes vexans (Meigen, 1830)","(Muja-Bajraktari et al., 2019)"
13,Diptera,Culicidae,"Anopheles claviger (Meigen, 1804)","(Muja-Bajraktari et al., 2019)"
14,Diptera,Culicidae,"Anopheles maculipennis s.l. Meigen, 1818","(Muja-Bajraktari et al., 2019)"
15,Diptera,Culicidae,"Anopheles melanoon Hackett, 1934","(Muja-Bajraktari et al., 2019)"
16,Diptera,Culicidae,"Anopheles messeae Falleroni, 1926","(Muja-Bajraktari et al., 2019)"
17,Diptera,Culicidae,"Coquillettidia buxtoni (Edwards, 1923)","(Muja-Bajraktari et al., 2019)"
18,Diptera,Culicidae,"Coquillettidia richiardii (Ficalbi, 1889)","(Muja-Bajraktari et al., 2019)"
19,Diptera,Culicidae,"Culex pipiens s.l Linnaeus, 1758","(Muja-Bajraktari et al., 2019)"
