Nr,Rendi,Familja,Lloji,Referenca
1,Lepidoptera,Crambidae,"Cydalima perspectalis (Walker, 1859)","(Geci & Ibrahimi, 2018)"
2,Lepidoptera,Geomentriade,"Abraxas grossulariata (Linnaeus, 1758)","(Bytyçi et al., 2022)"
3,Lepidoptera,Geomentriade,"Agriopis aurantiaria (Hübner, 1799)","(Bytyçi et al., 2022)"
4,Lepidoptera,Geomentriade,"Agriopis bajaria (Denis & Schiffermüller, 1775)","(Bytyçi et al., 2022)"
5,Lepidoptera,Geomentriade,"Agriopis leucophaearia (Denis & Schiffermüller, 1775)","(Bytyçi et al., 2022)"
6,Lepidoptera,Geomentriade,"Agriopis marginaria Fabricius, 1776","(Bytyçi et al., 2022)"
7,Lepidoptera,Geomentriade,"Alcis jubata (Thunberg, 1788)","(Bytyçi et al., 2022)"
8,Lepidoptera,Geomentriade,"Alcis repandata (Linnaeus, 1758)","(Bytyçi et al., 2022)"
9,Lepidoptera,Geomentriade,"Aleucis orientalis (Staudinger, 1892)","(Bytyçi et al., 2022)"
10,Lepidoptera,Geomentriade,"Alsophila aceraria (Denis & Schiffermüller, 1775)","(Bytyçi et al., 2022)"
11,Lepidoptera,Geomentriade,"Alsophila aescularia (Denis & Schiffermüller, 1775)","(Bytyçi et al., 2022)"
12,Lepidoptera,Geomentriade,"Angerona prunaria (Linnaeus, 1758)","(Bytyçi et al., 2022)"
13,Lepidoptera,Geomentriade,"Anticlea derivata (Denis & Schiffermüller, 1775)","(Bytyçi et al., 2022)"
14,Lepidoptera,Geomentriade,"Apeira syringaria (Linnaeus, 1758)","(Bytyçi et al., 2022)"
15,Lepidoptera,Geomentriade,"Aplasta ononaria (Fuessly, 1783)","(Bytyçi et al., 2022)"
16,Lepidoptera,Geomentriade,"Aplocera efformata (Guenée, 1858)","(Bytyçi et al., 2022)"
17,Lepidoptera,Geomentriade,"Aplocera plagiata (Linnaeus, 1758)","(Bytyçi et al., 2022)"
18,Lepidoptera,Geomentriade,"Aplocera praeformata (Hübner, 1826)","(Bytyçi et al., 2022)"
19,Lepidoptera,Geomentriade,"Aplocera simpliciata (Treitschke, 1835)","(Bytyçi et al., 2022)"
20,Lepidoptera,Geomentriade,"Apocheima hispidaria (Denis & Schiffermüller, 1775)","(Bytyçi et al., 2022)"
21,Lepidoptera,Geomentriade,"Artiora evonymaria (Denis & Schiffermüller, 1775)","(Bytyçi et al., 2022)"
22,Lepidoptera,Geomentriade,"Asovia maeoticaria (Alphéraky, 1876)","(Bytyçi et al., 2022)"
23,Lepidoptera,Geomentriade,"Aspitates gilvaria (Denis & Schiffermüller, 1775)","(Bytyçi et al., 2022)"
24,Lepidoptera,Geomentriade,"Aspitates ochrearia (Rossi, 1794)","(Bytyçi et al., 2022)"
25,Lepidoptera,Geomentriade,"Asthena albulata (Hufnagel, 1767)","(Bytyçi et al., 2022)"
