Nr,Rendi,Familja,Lloji,Referenca
1,Araneae,Agelenidae,"Agelena labyrinthica (Clerck, 1757)","(Geci et al., 2023)"
2,Araneae,Agelenidae,"Eratigena agrestis (Walckenaer, 1802)","(Geci & Naumova, 2021b)"
3,Araneae,Agelenidae,"Histopona laeta (Kulczyński, 1897)","(Grapci-Kotori et al., 2022)"
4,Araneae,Agelenidae,"Histopona luxurians (Kulczyński, 1897)","(Geci et al., 2023)"
5,Araneae,Agelenidae,"Histopona torpida (C. L. Koch, 1837)","(Geci & Naumova, 2021b)"
6,Araneae,Agelenidae,"Inermocoelotes falciger (Kulczyński, 1897)","(Vrenozi & Jäger, 2013)"
7,Araneae,Agelenidae,"Inermocoelotes inermis (L. Koch, 1855)","(Vrenozi & Jäger, 2013)"
8,Araneae,Agelenidae,"Inermocoelotes karlinskii (Kulczyński, 1906)","(Grapci-Kotori et al., 2022)"
9,Araneae,Agelenidae,"Inermocoelotes kulczynskii (Drensky, 1915)","(Geci & Naumova, 2021b)"
10,Araneae,Agelenidae,"Inermocoelotes melovskii Komnenov, 2017","(Grapci-Kotori et al., 2022)"
11,Araneae,Agelenidae,"Lycosoides coarctata (Dufour, 1831)","(Vrenozi & Jäger, 2013)"
12,Araneae,Agelenidae,"Tegenaria bosnica Kratochvíl & Miller, 1940","(Geci & Naumova, 2021b)"
13,Araneae,Agelenidae,"Tegenaria campestris (C. L. Koch, 1834)","(Geci & Naumova, 2021b)"
14,Araneae,Agelenidae,"Tegenaria domestica (Clerck, 1757)","(Geci & Naumova, 2021b)"
15,Araneae,Agelenidae,"Tegenaria ferruginea (Panzer, 1804)","(Geci et al., 2023)"
16,Araneae,Agelenidae,"Tegenaria silvestris L. Koch, 1872","(Geci et al., 2023)"
17,Araneae,Amaurobiidae,"Amaurobius erberi (Keyserling, 1863)","(Geci et al., 2023)"
18,Araneae,Amaurobiidae,"Amaurobius fenestralis (Ström, 1768)","(Grapci-Kotori et al., 2022)"
19,Araneae,Amaurobiidae,"Amaurobius phaeacus Thaler & Knoflach, 1998","(Geci & Naumova, 2021b)"
20,Araneae,Anyphaenidae,"Anyphaena accentuata (Walckenaer, 1802)","(Geci & Naumova, 2021b)"
21,Araneae,Araneidae,"Aculepeira ceropegia (Walckenaer, 1802)","(Vrenozi & Jäger, 2013)"
22,Araneae,Araneidae,"Agalenatea redii (Scopoli, 1763)","(Vrenozi & Jäger, 2013)"
23,Araneae,Araneidae,"Araneus angulatus Clerck, 1757","(Vrenozi & Jäger, 2013)"
24,Araneae,Araneidae,"Araneus circe (Audouin, 1826)","(Vrenozi & Jäger, 2013)"
25,Araneae,Araneidae,"Araneus diadematus Clerck, 1757","(Grapci-Kotori et al., 2022)"
26,Araneae,Araneidae,"Araneus grossus (C. L. Koch, 1844)","(Ibrahimi et al., 2024)"
27,Araneae,Araneidae,"Araneus marmoreus Clerck, 1757","(Geci et al., 2023)"
28,Araneae,Araneidae,"Araneus quadratus Clerck, 1757","(Geci & Naumova, 2021b)"
29,Araneae,Araneidae,"Araniella alpica (L. Koch, 1869)","(Vrenozi & Jäger, 2013)"
30,Araneae,Araneidae,"Araniella cucurbitina (Clerck, 1757)","(Vrenozi & Jäger, 2013)"
31,Araneae,Araneidae,"Araniella opisthographa (Kulczyński, 1905)","(Vrenozi & Jäger, 2013)"
32,Araneae,Araneidae,"Argiope bruennichi (Scopoli, 1772)","(Geci et al., 2023)"
33,Araneae,Araneidae,"Argiope lobata (Pallas, 1772)","(Ibrahimi et al., 2024)"
34,Araneae,Araneidae,"Cyclosa conica (Pallas, 1772)","(Vrenozi & Jäger, 2013)"
35,Araneae,Araneidae,"Cyclosa oculata (Walckenaer, 1802)","(Ibrahimi et al., 2024)"
36,Araneae,Araneidae,"Gibbaranea bituberculata (Walckenaer, 1802)","(Geci & Naumova, 2021b)"
37,Araneae,Araneidae,"Gibbaranea gibbosa (Walckenaer, 1802)","(Vrenozi & Jäger, 2013)"
38,Araneae,Araneidae,"Gibbaranea omoeda (Thorell, 1870)","(Vrenozi & Jäger, 2013)"
39,Araneae,Araneidae,"Hypsosinga albovittata (Westring, 1851)","(Vrenozi & Jäger, 2013)"
40,Araneae,Araneidae,"Hypsosinga pygmaea (Sundevall, 1831)","(Vrenozi & Jäger, 2013)"
41,Araneae,Araneidae,"Hypsosinga sanguinea (C. L. Koch, 1844)","(Vrenozi & Jäger, 2013)"
42,Araneae,Araneidae,"Larinioides patagiatus (Clerck, 1757)","(Geci & Naumova, 2021b)"
43,Araneae,Araneidae,"Larinioides suspicax (O. Pickard-Cambridge, 1876)","(Geci & Naumova, 2021b)"
44,Araneae,Araneidae,"Leviellus thorelli (Ausserer, 1871)","(Geci & Naumova, 2021b)"
45,Araneae,Araneidae,"Mangora acalypha (Walckenaer, 1802)","(Vrenozi & Jäger, 2013)"
46,Araneae,Araneidae,"Neoscona adianta (Walckenaer, 1802)","(Geci et al., 2023)"
47,Araneae,Araneidae,"Neoscona byzanthina (Pavesi, 1876)","(Geci & Naumova, 2021a)"
48,Araneae,Araneidae,"Nuctenea umbratica (Clerck, 1757)","(Geci & Naumova, 2021b)"
49,Araneae,Araneidae,"Singa hamata (Clerck, 1757)","(Vrenozi & Jäger, 2013)"
50,Araneae,Araneidae,"Zilla diodia (Walckenaer, 1802)","(Geci & Naumova, 2021b)"
51,Araneae,Araneidae,"Zygiella keyserlingi (Ausserer, 1871)","(Vrenozi & Jäger, 2013)"
52,Araneae,Atypidae,"Atypus piceus (Sulzer, 1776)","(Vrenozi & Jäger, 2013)"
53,Araneae,Cheiracanthiidae,"Cheiracanthium elegans Thorell, 1875","(Vrenozi & Jäger, 2013)"
54,Araneae,Cheiracanthiidae,"Cheiracanthium oncognathum Thorell, 1871","(Geci et al., 2023)"
55,Araneae,Cheiracanthiidae,"Cheiracanthium pennyi O. Pickard-Cambridge, 1873","(Geci et al., 2023)"
56,Araneae,Clubionidae,"Clubiona comta C. L. Koch, 1839","(Grapci-Kotori et al., 2022)"
57,Araneae,Clubionidae,"Clubiona corticalis (Walckenaer, 1802)","(Geci et al., 2023)"
58,Araneae,Clubionidae,"Clubiona juvenis Simon, 1878","(Geci et al., 2023)"
59,Araneae,Clubionidae,"Clubiona pseudoneglecta Wunderlich, 1994","(Grapci-Kotori et al., 2022)"
60,Araneae,Clubionidae,"Clubiona similis L. Koch, 1867","(Geci et al., 2023)"
61,Araneae,Clubionidae,"Clubiona stagnatilis Kulczyński, 1897","(Vrenozi & Jäger, 2013)"
62,Araneae,Clubionidae,"Clubiona subsultans Thorell, 1875","(Geci et al., 2023)"
63,Araneae,Clubionidae,"Clubiona terrestris Westring, 1851","(Geci & Naumova, 2021b)"
64,Araneae,Clubionidae,"Porrhoclubiona genevensis (L. Koch, 1866)","(Geci & Naumova, 2021b)"
65,Araneae,Cybaeidae,"Cryphoeca silvicola (C. L. Koch, 1834)","(Geci et al., 2023)"
66,Araneae,Cybaeidae,"Cybaeus balkanus Deltshev, 1997","(Grapci-Kotori et al., 2022)"
67,Araneae,Dictynidae,"Brigittea latens (Fabricius, 1775)","(Geci & Naumova, 2021b)"
68,Araneae,Dictynidae,"Dictyna uncinata Thorell, 1856","(Geci & Naumova, 2021b)"
69,Araneae,Dictynidae,"Emblyna brevidens (Kulczyński, 1897)","(Vrenozi & Jäger, 2013)"
70,Araneae,Dictynidae,"Nigma flavescens (Walckenaer, 1830)","(Geci & Naumova, 2021b)"
71,Araneae,Dysderidae,"Dysdera crocata C. L. Koch, 1838","(Geci & Naumova, 2021b)"
72,Araneae,Dysderidae,"Dysdera longirostris Doblika, 1853","(Vrenozi & Jäger, 2013)"
73,Araneae,Dysderidae,"Dysderocrates silvestris Deeleman-Reinhold, 1988","(Grapci-Kotori et al., 2022)"
74,Araneae,Dysderidae,"Dysderocrates storkani (Kratochvíl, 1935)","(Geci & Naumova, 2021b)"
75,Araneae,Dysderidae,"Harpactea hombergi (Scopoli, 1763)","(Geci & Naumova, 2021b)"
76,Araneae,Dysderidae,"Harpactea lepida (C. L. Koch, 1838)","(Geci et al., 2023)"
77,Araneae,Dysderidae,"Harpactea nausicaae Brignoli, 1976","(Geci & Naumova, 2021b)"
78,Araneae,Dysderidae,"Harpactea saeva (Herman, 1879)","(Geci & Naumova, 2021b)"
79,Araneae,Eresidae,"Eresus kollari Rossi, 1846","(Geci et al., 2023)"
80,Araneae,Gnaphosidae,"Berlandina plumalis (O. Pickard-Cambridge, 1872)","(Vrenozi & Jäger, 2013)"
81,Araneae,Gnaphosidae,"Callilepis cretica (Roewer, 1928)","(Geci & Naumova, 2021b)"
82,Araneae,Gnaphosidae,"Civizelotes caucasius (L. Koch, 1866)","(Geci et al., 2023)"
83,Araneae,Gnaphosidae,"Drassodes cupreus (Blackwall, 1834)","(Geci & Naumova, 2021b)"
84,Araneae,Gnaphosidae,"Drassodes lapidosus (Walckenaer, 1802)","(Geci & Naumova, 2021b)"
85,Araneae,Gnaphosidae,"Drassodes villosus (Thorell, 1856)","(Geci et al., 2023)"
86,Araneae,Gnaphosidae,"Drassyllus villicus (Thorell, 1875)","(Geci & Naumova, 2021b)"
87,Araneae,Gnaphosidae,"Haplodrassus signifer (C. L. Koch, 1839)","(Vrenozi & Jäger, 2013)"
88,Araneae,Gnaphosidae,"Micaria pulicaria (Sundevall, 1831)","(Vrenozi & Jäger, 2013)"
89,Araneae,Gnaphosidae,"Nomisia aussereri (L. Koch, 1872)","(Geci & Naumova, 2021b)"
90,Araneae,Gnaphosidae,"Scotophaeus blackwalli (Thorell, 1871)","(Vrenozi & Jäger, 2013)"
91,Araneae,Gnaphosidae,"Zelotes apricorum (L. Koch, 1876)","(Geci & Naumova, 2021b)"
92,Araneae,Gnaphosidae,"Zelotes longipes (L. Koch, 1866)","(Vrenozi & Jäger, 2013)"
93,Araneae,Gnaphosidae,"Zelotes oblongus (C. L. Koch, 1833)","(Vrenozi & Jäger, 2013)"
94,Araneae,Gnaphosidae,"Zelotes olympi (Kulczyński, 1903)","(Grapci-Kotori et al., 2022)"
95,Araneae,Gnaphosidae,"Zelotes similis (Kulczyński, 1887)","(Vrenozi & Jäger, 2013)"
96,Araneae,Hahniidae,"Hahnia pusilla C. L. Koch, 1841","(Geci & Naumova, 2021b)"
97,Araneae,Linyphiidae,"Agyneta affinis (Kulczyński, 1898)","(Geci et al., 2023)"
98,Araneae,Linyphiidae,"Agyneta fuscipalpus (C. L. Koch, 1836)","(Vrenozi & Jäger, 2013)"
99,Araneae,Linyphiidae,"Bolyphantes alticeps (Sundevall, 1833)","(Grapci-Kotori et al., 2022)"
100,Araneae,Linyphiidae,"Centromerus sylvaticus (Blackwall, 1841)","(Grapci-Kotori et al., 2022)"
101,Araneae,Linyphiidae,"Ceratinella brevis (Wider, 1834)","(Grapci-Kotori et al., 2022)"
102,Araneae,Linyphiidae,"Erigone dentipalpis (Wider, 1834)","(Vrenozi & Jäger, 2013)"
103,Araneae,Linyphiidae,"Fageiella ensiger Deeleman-Reinhold, 1974","(Vrenozi & Jäger, 2013)"
104,Araneae,Linyphiidae,"Frontinellina frutetorum (C. L. Koch, 1835)","(Geci & Naumova, 2021b)"
105,Araneae,Linyphiidae,"Linyphia hortensis Sundevall, 1830","(Grapci-Kotori et al., 2022)"
106,Araneae,Linyphiidae,"Linyphia triangularis (Clerck, 1757)","(Geci & Naumova, 2021b)"
107,Araneae,Linyphiidae,"Microlinyphia pusilla (Sundevall, 1830)","(Grapci-Kotori et al., 2022)"
108,Araneae,Linyphiidae,"Neriene montana (Clerck, 1757)","(Geci & Naumova, 2021b)"
109,Araneae,Linyphiidae,"Obscuriphantes obscurus (Blackwall, 1841)","(Geci et al., 2023)"
110,Araneae,Linyphiidae,"Oedothorax gibbosus (Blackwall, 1841)","(Vrenozi & Jäger, 2013)"
111,Araneae,Linyphiidae,"Ostearius melanopygius (O. Pickard-Cambridge, 1880)","(Geci et al., 2024)"
112,Araneae,Linyphiidae,"Palliduphantes trnovensis (Drensky, 1931)","(Vrenozi & Jäger, 2013)"
113,Araneae,Linyphiidae,"Pityohyphantes phrygianus (C. L. Koch, 1836)","(Geci et al., 2023)"
114,Araneae,Linyphiidae,"Porrhomma pygmaeum (Blackwall, 1834)","(Vrenozi & Jäger, 2013)"
115,Araneae,Linyphiidae,"Styloctetor compar (Westring, 1861)","(Vrenozi & Jäger, 2013)"
116,Araneae,Linyphiidae,"Tapinopa longidens (Wider, 1834)","(Geci et al., 2023)"
117,Araneae,Linyphiidae,"Tenuiphantes tenebricola (Wider, 1834)","(Geci & Naumova, 2021b)"
118,Araneae,Linyphiidae,"Trichoncus affinis Kulczyński, 1894","(Vrenozi & Jäger, 2013)"
119,Araneae,Liocranidae,"Apostenus fuscus Westring, 1851","(Geci & Naumova, 2021b)"
120,Araneae,Liocranidae,"Sagana rutilans Thorell, 1875","(Vrenozi & Jäger, 2013)"
121,Araneae,Lycosidae,"Alopecosa aculeata (Clerck, 1757)","(Vrenozi & Jäger, 2013)"
122,Araneae,Lycosidae,"Alopecosa albofasciata (Brullé, 1832)","(Geci & Naumova, 2021b)"
123,Araneae,Lycosidae,"Alopecosa cuneata (Clerck, 1757)","(Geci & Naumova, 2021b)"
124,Araneae,Lycosidae,"Alopecosa farinosa (Herman, 1879)","(Grapci-Kotori et al., 2022)"
125,Araneae,Lycosidae,"Alopecosa trabalis (Clerck, 1757)","(Vrenozi & Jäger, 2013)"
126,Araneae,Lycosidae,"Arctosa cinerea (Fabricius, 1777)","(Vrenozi & Jäger, 2013)"
127,Araneae,Lycosidae,"Arctosa leopardus (Sundevall, 1833)","(Vrenozi & Jäger, 2013)"
128,Araneae,Lycosidae,"Hogna radiata (Latreille, 1817)","(Vrenozi & Jäger, 2013)"
129,Araneae,Lycosidae,"Pardosa agrestis (Westring, 1861)","(Vrenozi & Jäger, 2013)"
130,Araneae,Lycosidae,"Pardosa agricola (Thorell, 1856)","(Vrenozi & Jäger, 2013)"
131,Araneae,Lycosidae,"Pardosa alacris (C. L. Koch, 1833)","(Vrenozi & Jäger, 2013)"
132,Araneae,Lycosidae,"Pardosa albatula (Roewer, 1951)","(Vrenozi & Jäger, 2013)"
133,Araneae,Lycosidae,"Pardosa amentata (Clerck, 1757)","(Vrenozi & Jäger, 2013)"
134,Araneae,Lycosidae,"Pardosa ferruginea (L. Koch, 1870)","(Vrenozi & Jäger, 2013)"
135,Araneae,Lycosidae,"Pardosa fulvipes (Collett, 1876)","(Geci & Naumova, 2021b)"
136,Araneae,Lycosidae,"Pardosa hortensis (Thorell, 1872)","(Vrenozi & Jäger, 2013)"
137,Araneae,Lycosidae,"Pardosa lugubris (Walckenaer, 1802)","(Geci & Naumova, 2021b)"
138,Araneae,Lycosidae,"Pardosa mixta (Kulczyński, 1887)","(Geci & Naumova, 2021b)"
139,Araneae,Lycosidae,"Pardosa monticola (Clerck, 1757)","(Grapci-Kotori et al., 2022)"
140,Araneae,Lycosidae,"Pardosa morosa (L. Koch, 1870)","(Vrenozi & Jäger, 2013)"
141,Araneae,Lycosidae,"Pardosa paludicola (Clerck, 1757)","(Vrenozi & Jäger, 2013)"
142,Araneae,Lycosidae,"Pardosa palustris (Linnaeus, 1758)","(Vrenozi & Jäger, 2013)"
143,Araneae,Lycosidae,"Pardosa prativaga (L. Koch, 1870)","(Vrenozi & Jäger, 2013)"
144,Araneae,Lycosidae,"Pardosa pullata (Clerck, 1757)","(Vrenozi & Jäger, 2013)"
145,Araneae,Lycosidae,"Pardosa riparia (C. L. Koch, 1833)","(Geci & Naumova, 2021b)"
146,Araneae,Lycosidae,"Pardosa saltuaria (L. Koch, 1870)","(Geci & Naumova, 2021b)"
147,Araneae,Lycosidae,"Pirata piscatorius (Clerck, 1757)","(Vrenozi & Jäger, 2013)"
148,Araneae,Lycosidae,"Piratula hygrophila (Thorell, 1872)","(Vrenozi & Jäger, 2013)"
