Nr,Rendi,Familja,Lloji,Referenca
1,Odonata,Aeshnidae,"Aeshna affinis Vander Linden, 1820","(Vinko et al., 2020)"
2,Odonata,Aeshnidae,"Aeshna cyanea (Müller, 1764)","(Vinko et al., 2020)"
3,Odonata,Aeshnidae,"Aeshna isoceles (Müller, 1767)","(Vinko et al., 2020)"
4,Odonata,Aeshnidae,"Aeshna mixta Latreille, 1805","(Vinko et al., 2020)"
5,Odonata,Aeshnidae,"Anax ephippiger (Burmeister, 1839)","(Vinko et al., 2020)"
6,Odonata,Aeshnidae,"Anax imperator Leach, 1815","(Vinko et al., 2020)"
7,Odonata,Aeshnidae,"Anax parthenope (Selys, 1839)","(Vinko et al., 2020)"
8,Odonata,Aeshnidae,"Caliaeschna microstigma Schneider, 1845","(Vinko et al., 2020)"
9,Odonata,Calopterygidae,"Calopteryx splendens (Harris, 1782)","(Vinko et al., 2020)"
10,Odonata,Calopterygidae,"Calopteryx virgo (Linnaeus, 1758)","(Vinko et al., 2020)"
11,Odonata,Coenagrionidae,"Coenagrion ornatum Selys, 1850","(Vinko et al., 2020)"
12,Odonata,Coenagrionidae,"Coenagrion puella (Linnaeus, 1758)","(Vinko et al., 2020)"
13,Odonata,Coenagrionidae,"Coenagrion scitulum (Rambur,1842)","(Vinko et al., 2020)"
14,Odonata,Coenagrionidae,"Enallagma cyathigerum (Charpentier, 1840)","(Vinko et al., 2020)"
15,Odonata,Coenagrionidae,"Erythromma lindenii (Selys, 1840)","(Vinko et al., 2020)"
16,Odonata,Coenagrionidae,"Erythromma viridulum (Charpetier, 1840)","(Vinko et al., 2020)"
17,Odonata,Coenagrionidae,"Ischnura elegans (Vander Linden, 1820)","(Vinko et al., 2020)"
18,Odonata,Coenagrionidae,"Ischnura pumilio (Charpentier, 1825)","(Vinko et al., 2020)"
19,Odonata,Coenagrionidae,"Pyrrhosoma nymphula (Sulzer, 1776)","(Vinko et al., 2020)"
20,Odonata,Cordulegastridae,"Cordulegaster bidentata Selys, 1843","(Vinko et al., 2020)"
21,Odonata,Cordulegastridae,"Cordulegaster heras Theischinger, 1979","(Vinko et al., 2020)"
22,Odonata,Corduliidae,"Cordulia aenea (Linnaeus, 1758)","(Vinko et al., 2020)"
23,Odonata,Corduliidae,"Somatochlora flavomaculata (Vander Linden, 1825)","(Vinko et al., 2020)"
24,Odonata,Corduliidae,"Somatochlora maridionalis Nielsen, 1935","(Vinko et al., 2020)"
25,Odonata,Gomphydae,"Gomphus vulgatissimus (Linnaeus, 1758)","(Vinko et al., 2020)"
26,Odonata,Gomphydae,"Onychogomphus forcipatus (Linnaeus, 1758)","(Vinko et al., 2020)"
27,Odonata,Lestidae,"Lestes barbarus (Fabricius, 1798)","(Vinko et al., 2020)"
28,Odonata,Lestidae,"Lestes dryas (Kirby, 1890)","(Vinko et al., 2020)"
29,Odonata,Lestidae,"Lestes virens vestalis (Charpentier, 1825)","(Vinko et al., 2020)"
30,Odonata,Lestidae,"Sympecma fusca (Vander Linden, 1820)","(Vinko et al., 2020)"
31,Odonata,Libellulidae,"Crocothemis erythraea (Brulié, 1832)","(Vinko et al., 2020)"
32,Odonata,Libellulidae,"Leibellula fulva (Müller, 1764)","(Vinko et al., 2020)"
33,Odonata,Libellulidae,"Libellula depressa Linnaeus, 1758","(Vinko et al., 2020)"
34,Odonata,Libellulidae,"Libellula quadrimaculata Linnaeus, 1758","(Vinko et al., 2020)"
35,Odonata,Libellulidae,Orthetrum albistylum (Selys 1848),"(Vinko et al., 2020)"
36,Odonata,Libellulidae,"Orthetrum brunneum (Fonscolombe, 1837)","(Vinko et al., 2020)"
37,Odonata,Libellulidae,"Orthetrum cancellatum (Linnaeus, 1758)","(Vinko et al., 2020)"
38,Odonata,Libellulidae,"Orthetrum coerulescens (Fabricius, 1798)","(Vinko et al., 2020)"
39,Odonata,Libellulidae,"Sympetrum depressiusculum (Selys, 1841)","(Vinko et al., 2020)"
40,Odonata,Libellulidae,"Sympetrum flaveolum (Linnaeus, 1758)","(Vinko et al., 2020)"
41,Odonata,Libellulidae,"Sympetrum fonscolombii (Selys, 1840)","(Vinko et al., 2020)"
42,Odonata,Libellulidae,"Sympetrum meridionale (Selys, 1841)","(Vinko et al., 2020)"
43,Odonata,Libellulidae,"Sympetrum sanguineum (Müler, 1764)","(Vinko et al., 2020)"
44,Odonata,Libellulidae,"Sympetrum striolatum (Charpentier, 1840)","(Vinko et al., 2020)"
45,Odonata,Platycnemididae,"Platycnemis penniper (Pallas, 1771)","(Vinko et al., 2020)"
