Nr,Klasa,Rendi,Familja,Lloji,Referenca
1,Actinopterygii,Anguilliformes ,Anguillidae,"Anguilla anguilla (Linnaeus, 1758)","(Ibrahimi et al., 2019)",,,,,Esociformes,Perciformes,,,Salmoniformes ,Siluriformes
2,Actinopterygii,Cypriniformes,Acheilognathidae,"Rhodeus amarus (Bloch, 1782)","(Zogaris et al., 2024)",,,,,Esocidae,Blenniidae,Centrarchidae,Percidae,Salmonidae,Siluridae
3,Actinopterygii,Cypriniformes,Acheilognathidae,"Rhodeus meridionalis Karaman, 1924","(Ibrahimi et al., 2019)",,,,,"Esox lucius (Linnaeus, 1758)","Salariopsis fluviatilis (Asso & del Rio, 1801)","Lepomis gibbosus (Linnaeus, 1758)","Perca fluviatilis (Linnaeus, 1758)","Oncorhynchus mykiss (Walbaum, 1792)","Silurus glanis (Linnaeus, 1758)"
4,Actinopterygii,Cypriniformes,Cobitidae ,"Cobitis elongatoides Bǎcescu & Mayer, 1969","(Zogaris et al., 2024)",,,,,,,,"Sander lucioperca (Linnaeus, 1758)","Salmo farioides (Karaman, 1938) !",
5,Actinopterygii,Cypriniformes,Cobitidae ,"Cobitis ohridana Karamn, 1928","(Grapci-Kotori et al., 2020)",,,,,,,,,"Salmo macedonicus (Karaman, 1924)",
6,Actinopterygii,Cypriniformes,Cobitidae ,"Sabanejewia balcanica (Karaman, 1922)","(Zogaris et al., 2024)",,,,,,,,,"Salmo marmoratus (Cuvier, 1829)",
7,Actinopterygii,Cypriniformes,Cyprinidae,"Carassius gibelio (Bloch, 1782)","(Zogaris et al., 2024)",,,,,,,,,"Salmo trutta fario (Linnaeus, 1758) !",
8,Actinopterygii,Cypriniformes,Cyprinidae,"Ctenopharyngodon idella (Valenciennes, 1844)","(Grapci-Kotori et al., 2010)",,,,,,,,,,
9,Actinopterygii,Cypriniformes,Cyprinidae ,"Barbus balcanicus Kotlík, Tsigenopoulos, Ráb & Berrebi, 2002","(Zogaris et al., 2024)",,,,,,,,,,
10,Actinopterygii,Cypriniformes,Cyprinidae ,"Barbus barbus (Linnaeus, 1758)","(Gashi et al., 2016)",,,,,,,,,,
11,Actinopterygii,Cypriniformes,Cyprinidae ,"Barbus cf. macedonicus Karaman, 1928","(Ibrahimi et al., 2024)",,,,,,,,,,
12,Actinopterygii,Cypriniformes,Cyprinidae ,"Barbus rebeli Koller, 1926","(Ibrahimi et al., 2019)",,,,,,,,,,
13,Actinopterygii,Cypriniformes,Cyprinidae ,"Carassius auratus (Linnaeus, 1758)","(Gashi et al., 2016)",,,,,,,,,,
14,Actinopterygii,Cypriniformes,Cyprinidae ,"Carassius carassius (Linnaeus, 1758)","(Grapci-Kotori et al., 2019)",,,,,,,,,,
17,Actinopterygii,Cypriniformes,Cyprinidae ,"Cyprinus carpio Linnaeus, 1758","(Grapci-Kotori et al., 2020)",,,,,,,,,,
18,Actinopterygii,Cypriniformes,Cyprinidae ,"Gobio bulgaricus Drensky, 1926","(Ibrahimi et al., 2019)",,,,,,,,,,
19,Actinopterygii,Cypriniformes,Cyprinidae ,"Leucaspius delineatus (Heckel, 1843)","(Gashi et al., 2016)",,,,,,,,,,
20,Actinopterygii,Cypriniformes,Cyprinidae ,"Pachychilon pictum (Heckel & Kner, 1858)","(Grapci-Kotori et al., 2020)",,,,,,,,,,
21,Actinopterygii,Cypriniformes,Cyprinidae ,"Scardinius erythrophthalmus Linnaeus, 1758","(Gashi et al., 2016)",,,,,,,,,,
22,Actinopterygii,Cypriniformes,Cyprinidae ,"Gobio gobio Linnaeus, 1758","(Gashi et al., 2016)",,,,,,,,,,
23,Actinopterygii,Cypriniformes,Cyprinidae ,"Gobio obtusirostris Valenciennes, 1842","(Zogaris et al., 2024)",,,,,,,,,,
24,Actinopterygii,Cypriniformes,Cyprinidae ,Gobio ohridanus/skadarensis ,"(Grapci-Kotori et al., 2020)",,,,,,,,,,
26,Actinopterygii,Cypriniformes,Gobionidae,"Pseudorasbora parva (Temminck & Schlegel, 1846)","(Zogaris et al., 2024)",,,,,,,,,,
27,Actinopterygii,Cypriniformes,Gobionidae,"Romanogobio uranoscopus (Agassiz, 1828)","(Zogaris et al., 2024)",,,,,,,,,,
28,Actinopterygii,Cypriniformes,Leuciscidae,"Abramis brama (Linnaeus, 1758)","(Gashi et al., 2016)",,,,,,,,,,
29,Actinopterygii,Cypriniformes,Leuciscidae,"Alburnoides bipunctatus (Bloch, 1782)","(Zogaris et al., 2024)",,,,,,,,,,
30,Actinopterygii,Cypriniformes,Leuciscidae,"Alburnoides ohridanus (Karaman, 1928)","(Grapci-Kotori et al., 2020)",,,,,,,,,,
31,Actinopterygii,Cypriniformes,Leuciscidae,"Alburnus alburnus (Linnaeus, 1758)","(Zogaris et al., 2024)",,,,,,,,,,
32,Actinopterygii,Cypriniformes,Leuciscidae,"Alburnus scoranza Heckel & Kner, 1857","(Grapci-Kotori et al., 2020)",,,,,,,,,,
33,Actinopterygii,Cypriniformes,Leuciscidae,"Chondrostoma nasus (Linnaeus, 1758)","(Zogaris et al., 2024)",,,,,,,,,,
34,Actinopterygii,Cypriniformes,Leuciscidae,"Chondrostoma ohridanus Karaman, 1924","(Grapci-Kotori et al., 2020)",,,,,,,,,,
35,Actinopterygii,Cypriniformes,Leuciscidae,"Leuciscus leuciscus (Linnaeus, 1758)","(Grapci-Kotori et al., 2010)",,,,,,,,,,
37,Actinopterygii,Cypriniformes,Leuciscidae,"Phoxinus phoxinus (Linnaeus, 1758)","(Gashi et al., 2016)",,,,,,,,,,
38,Actinopterygii,Cypriniformes,Leuciscidae,"Rutilus rutilus (Linnaeus, 1758)","(Zogaris et al., 2024)",,,,,,,,,,
39,Actinopterygii,Cypriniformes,Leuciscidae,"Squalius cephalus (Linnaeus, 1758)","(Zogaris et al., 2024)",,,,,,,,,,
40,Actinopterygii,Cypriniformes,Leuciscidae,"Squalius platyceps Zupančič, Marić, Naseka & Bogutskaya, 2010","(Grapci-Kotori et al., 2020)",,,,,,,,,,
41,Actinopterygii,Cypriniformes,Leuciscidae,"Vimba vimba (Linnaeus, 1758)","(Zogaris et al., 2024)",,,,,,,,,,
42,Actinopterygii,Cypriniformes,Leuciscidae,"Vimba vimba carinata (Pallas, 1811)","(Gashi et al., 2016)",,,,,,,,,,
43,Actinopterygii,Cypriniformes,Nemacheilidae,"Barbatula barbatula (Linnaeus, 1758)","(Zogaris et al., 2024)",,,,,,,,,,
44,Actinopterygii,Cypriniformes,Nemacheilidae,"Barbatula sturanyi (Steindachner, 1892)","(Grapci-Kotori et al., 2020)",,,,,,,,,,
45,Actinopterygii,Cypriniformes,Nemacheilidae,"Oxynoemacheilus bureschi (Drensky, 1928)","(Ibrahimi et al., 2024)",,,,,,,,,,
46,Actinopterygii,Cypriniformes,Tincidae,"Tinca tinca (Linnaeus, 1758)","(Gashi et al., 2016)",,,,,,,,,,
47,Actinopterygii,Esociformes,Esocidae,"Esox lucius Linnaeus, 1758","(Grapci-Kotori et al., 2019)",,,,,,,,,,
48,Actinopterygii,Perciformes,Blenniidae,"Salaria fluviatilis (Asso & del Rio, 1801)","(Grapci-Kotori et al., 2020)",,,,,,,,,,
49,Actinopterygii,Perciformes,Centrarchidae,"Lepomis gibbosus (Linnaeus, 1758)","(Zogaris et al., 2024)",,,,,,,,,,
50,Actinopterygii,Perciformes,Percidae,"Perca fluviatilis Linnaeus, 1758","(Zogaris et al., 2024)",,,,,,,,,,
51,Actinopterygii,Perciformes,Percidae,"Sander lucioperca (Linnaeus, 1758)","(Grapci-Kotori et al., 2020)",,,,,,,,,,
52,Actinopterygii,Salmoniformes ,Salmonidae,"Oncorhynchus mykiss (Walbaum, 1792)","(Zogaris et al., 2024)",,,,,,,,,,
53,Actinopterygii,Salmoniformes ,Salmonidae,"Salmo farioides (Karaman, 1938) ","(Grapci-Kotori et al., 2020)",,,,,,,,,,
54,Actinopterygii,Salmoniformes ,Salmonidae,"Salmo macedonicus (Karaman, 1924)","(Ibrahimi et al., 2019)",,,,,,,,,,
55,Actinopterygii,Salmoniformes ,Salmonidae,"Salmo marmoratus Cuvier, 1829","(Ibrahimi et al., 2019)",,,,,,,,,,
56,Actinopterygii,Salmoniformes ,Salmonidae,"Salmo trutta fario Linnaeus, 1758","(Gashi et al., 2016)",,,,,,,,,,
57,Actinopterygii,Siluriformes,Siluridae,"Silurus glanis Linnaeus, 1758","(Grapci-Kotori et al., 2019)",,,,,,,,,,
58,Petromyzonti,Petromyzontiformes,Petromyzontidae,"Eudontomyzon stankokaramani Karaman, 1974","(Grapci-Kotori et al., 2020)",,,,,,,,,,
