Nr,Rendi,Familja,Lloji,Referenca
1,Plecoptera,Capniidae,"Capnia nigra (Pictet, 1833)","(Dauti, 1980)"
2,Plecoptera,Capniidae,"Capnia vidua vidua Klapálek, 1904","(Dauti et al., 2007)"
3,Plecoptera,Capniidae,"Zwicknia (Capnia) bifrons (Newman, 1838)","(Bilalli et al., 2023)"
4,Plecoptera,Chloroperlidae,"Chloroperla russevi Braasch, 1969","(Dauti, 1980)"
5,Plecoptera,Chloroperlidae,"Chloroperla tripunctata (Scopoli, 1763)","(Bilalli et al., 2023)"
6,Plecoptera,Chloroperlidae,"Siphonoperla neglecta (Rostock, 1881)","(Dauti, 1983-1986a)"
7,Plecoptera,Chloroperlidae,"Siphonoperla torrentium (Pictet, 1841)","(Sivec, 1980)"
8,Plecoptera,Leuctridae,"Leuctra bronislawi Sowa, 1970","(Bilalli et al., 2023)"
9,Plecoptera,Leuctridae,"Leuctra cf. olympia Aubert, 1956","(Bilalli et al., 2023)"
10,Plecoptera,Leuctridae,"Leuctra cingulata Kempny, 1899","(Bilalli et al., 2023)"
11,Plecoptera,Leuctridae,"Leuctra digitata Kempny, 1899","(Dauti, 1980)"
12,Plecoptera,Leuctridae,"Leuctra fusca (Linnaeus, 1758)","(Bilalli et al., 2023)"
13,Plecoptera,Leuctridae,"Leuctra hippopoides Kacanski & Zwick, 1970","(Dauti, 1983-1986b)"
14,Plecoptera,Leuctridae,"Leuctra hippopus Kempny, 1899","(Bilalli et al., 2020)"
15,Plecoptera,Leuctridae,"Leuctra hirsuta Bogescu & Tabacaru, 1960","(Bilalli et al., 2023)"
16,Plecoptera,Leuctridae,"Leuctra inermis Kempny, 1899","(Bilalli et al., 2023)"
17,Plecoptera,Leuctridae,"Leuctra major Brinck, 1949","(Bilalli et al., 2023)"
18,Plecoptera,Leuctridae,"Leuctra metsovonica Aubert, 1956","(Dauti, 1980)"
19,Plecoptera,Leuctridae,"Leuctra nigra (Olivier, 1811)","(Bilalli et al., 2023)"
