Nr,Rendi,Familja,Lloj,Referenca
1,Accipitriformes ,Accipitridae ,"Accipiter brevipes (Severtsov, 1850)","(Bird List - Kosovo - EBird, 2024)"
2,Accipitriformes ,Accipitridae ,"Accipiter gentilis (Linnaeus, 1758)","(Bird List - Kosovo - EBird, 2024)"
3,Accipitriformes ,Accipitridae ,"Accipiter nisus (Linnaeus, 1758)","(Bird List - Kosovo - EBird, 2024)"
4,Accipitriformes ,Accipitridae ,"Aquila chrysaetos (Linnaeus, 1758)","(Bird List - Kosovo - EBird, 2024)"
5,Accipitriformes ,Accipitridae ,"Aquila fasciata (Vieillot, 1822)","(Bird List - Kosovo - EBird, 2024)"
6,Accipitriformes ,Accipitridae ,"Buteo buteo (Linnaeus, 1758)","(Bird List - Kosovo - EBird, 2024)"
7,Accipitriformes ,Accipitridae ,"Buteo rufinus (Cretzschmar, 1827)","(Bird List - Kosovo - EBird, 2024)"
8,Accipitriformes ,Accipitridae ,"Circaetus gallicus (Gmelin, 1788)","(Bird List - Kosovo - EBird, 2024)"
9,Accipitriformes ,Accipitridae ,"Circus aeruginosus (Linnaeus, 1758)","(Bird List - Kosovo - EBird, 2024)"
10,Accipitriformes ,Accipitridae ,"Circus cyaneus (Linnaeus, 1766)","(Bird List - Kosovo - EBird, 2024)"
11,Accipitriformes ,Accipitridae ,"Circus macrourus (Gmelin, 1770)","(Bird List - Kosovo - EBird, 2024)"
12,Accipitriformes ,Accipitridae ,"Circus pygargus (Linnaeus, 1758)","(Bird List - Kosovo - EBird, 2024)"
13,Accipitriformes ,Accipitridae ,"Gyps fulvus (Hablizl, 1783)","(Bird List - Kosovo - EBird, 2024)"
14,Accipitriformes ,Accipitridae ,"Milvus migrans (Boddaert, 1783)","(Bird List - Kosovo - EBird, 2024)"
15,Accipitriformes ,Accipitridae ,"Pernis apivorus (Linnaeus, 1758)","(Bird List - Kosovo - EBird, 2024)"
16,Accipitriformes ,Accipitridae ,"Hieraaetus pennatus (Gmelin, 1788)","(Bird List - Kosovo - EBird, 2024)"
17,Accipitriformes ,Pandionidae ,"Pandion haliaetus (Linnaeus, 1758)","(Bird List - Kosovo - EBird, 2024)"
18,Anseriformes ,Anatidae ,"Anas acuta Linnaeus, 1758","(Bird List - Kosovo - EBird, 2024)"
19,Anseriformes ,Anatidae ,"Anas crecca Linnaeus, 1758","(Bird List - Kosovo - EBird, 2024)"
20,Anseriformes ,Anatidae ,"Anas platyrhynchos Linnaeus, 1758","(Bird List - Kosovo - EBird, 2024)"
21,Anseriformes ,Anatidae ,"Anser albifrons (Scopoli, 1769)","(Bird List - Kosovo - EBird, 2024)"
22,Anseriformes ,Anatidae ,"Anser anser (Linnaeus, 1758)","(Bird List - Kosovo - EBird, 2024)"
23,Anseriformes ,Anatidae ,"Aythya ferina (Linnaeus, 1758)","(Bird List - Kosovo - EBird, 2024)"
24,Anseriformes ,Anatidae ,"Aythya fuligula (Linnaeus, 1758)","(Bird List - Kosovo - EBird, 2024)"
25,Anseriformes ,Anatidae ,"Aythya nyroca (Güldenstädt, 1770)","(Bird List - Kosovo - EBird, 2024)"
