Nr,Rendi,Familja,Lloji,Referenca
1,Trichoptera,Beraeaidae,"Beraea maurus (Curtis, 1834)","(Ibrahimi et al., 2014)"
2,Trichoptera,Beraeaidae,"Beraea pullata (Curtis, 1834)","(Ibrahimi et al., 2015)"
3,Trichoptera,Beraeaidae,"Beraeamyia hrabei Mayer, 1937","(Ibrahimi et al., 2014)"
4,Trichoptera,Beraeaidae,"Ernodes articularis (Pictet, 1834)","(Ibrahimi et al., 2014)"
5,Trichoptera,Beraeaidae,"Ernodes skipetarum Malicky, 1986","(Ibrahimi, et al., 2016)"
6,Trichoptera,Brachycentridae,"Brachycentrus maculatus (Fourcroy, 1785)","(Ibrahimi et al., 2014)"
7,Trichoptera,Brachycentridae,"Micrasema minimum McLachlan, 1876","(Ibrahimi et al., 2014)"
8,Trichoptera,Brachycentridae,"Micrasema sericeum Klapálek, 1902","(Ibrahimi et al., 2014)"
9,Trichoptera,Glossosomatidae,"Agapetus delicatulus McLachlan, 1884","(Ibrahimi et al., 2012)"
10,Trichoptera,Glossosomatidae,"Agapetus laniger Pictet, 1834","(Ibrahimi et al., 2014)"
11,Trichoptera,Glossosomatidae,"Agapetus ochripes Curtis, 1834","(Ibrahimi et al., 2012)"
12,Trichoptera,Glossosomatidae,"Glossosoma bifidum McLachlan, 1879","(Ibrahimi, et al., 2016)"
13,Trichoptera,Glossosomatidae,"Glossosoma conformis Neboiss, 1963","(Ibrahimi et al., 2014)"
14,Trichoptera,Glossosomatidae,"Glossosoma discophorum Klapálek, 1902","(Ibrahimi et al., 2014)"
15,Trichoptera,Glossosomatidae,"Glossosoma intermedium (Klapalek, 1892) ","(Ibrahimi, et al., 2016)"
16,Trichoptera,Glossosomatidae,"Glossosoma klotho Malicky, 2003","(Ibrahimi et al., 2016)"
17,Trichoptera,Glossosomatidae,"Synagapetus iridipennis McLachlan, 1879","(Ibrahimi et al., 2014)"
18,Trichoptera,Glossosomatidae,"Synagapetus moselyi (Ulmer, 1938)","(Ibrahimi et al., 2015)"
19,Trichoptera,Glossosomatidae,"Synagapetus slavorum Botosaneanu, 1960","(Ibrahimi et al., 2012)"
20,Trichoptera,Goeridae,"Goera pilosa (Fabricius, 1775)","(Ibrahimi et al., 2014)"
21,Trichoptera,Goeridae,"Silo graellsi Pictet, 1865","(Ibrahimi et al., 2014)"
22,Trichoptera,Goeridae,"Silo pallipes (Fabricius, 1781)","(Ibrahimi et al., 2012)"
23,Trichoptera,Goeridae,"Silo piceus (Brauer, 1857)","(Ibrahimi et al., 2014)"
24,Trichoptera,Helicopsidae,"Helicopsyche bacescui Orghidan & Botosaneanu, 1953","(Ibrahimi et al., 2012)"
25,Trichoptera,Hydropsychidae,"Cheumatopsyche lepida (Pictet, 1834)","(Ibrahimi et al., 2014)"
26,Trichoptera,Hydropsychidae,"Diplectrona atra McLachlan, 1878","(Ibrahimi et al., 2012)"
27,Trichoptera,Hydropsychidae,"Hydropsyche angustipennis (Curtis, 1834)","(Ibrahimi et al., 2014)"
28,Trichoptera,Hydropsychidae,"Hydropsyche botosaneanui Marinković Gospodnetić, 1966","(Ibrahimi et al., 2024)"
29,Trichoptera,Hydropsychidae,"Hydropsyche bulbifera McLachlan, 1878","(Ibrahimi et al., 2014)"
30,Trichoptera,Hydropsychidae,"Hydropsyche emarginata Navàs, 1923","(Salihu et al., 2023)"
31,Trichoptera,Hydropsychidae,"Hydropsyche fulvipes Curtis, 1834","(Ibrahimi et al., 2014)"
32,Trichoptera,Hydropsychidae,"Hydropsyche incognita Pitsch, 1993","(Ibrahimi et al., 2014)"
33,Trichoptera,Hydropsychidae,"Hydropsyche instabilis (Curtis, 1834)","(Ibrahimi et al., 2014)"
34,Trichoptera,Hydropsychidae,"Hydropsyche modesta Navás, 1925","(Salihu et al., 2023)"
